"ID","File 1","File 2","Day","Time","Label"
4003,"S4003A_11-08-09-00.png","S4003B_11-08-09-00.png",3,540,2
157,"S157A_11-05-16-38.png","S157B_11-05-16-38.png",0,998,5
63,"S63A_11-05-15-03.png","S63B_11-05-15-03.png",0,903,3
47,"S47A_11-05-14-47.png","S47B_11-05-14-47.png",0,887,2
4975,"S4975A_11-09-01-16.png","S4975B_11-09-01-16.png",4,76,1
2933,"S2933A_11-07-15-04.png","S2933B_11-07-15-04.png",2,904,5
1950,"S1950A_11-06-22-38.png","S1950B_11-06-22-38.png",1,1358,2
4621,"S4621A_11-08-19-21.png","S4621B_11-08-19-21.png",3,1161,2
254,"S254A_11-05-18-15.png","S254B_11-05-18-15.png",0,1095,2
3443,"S3443A_11-07-23-37.png","S3443B_11-07-23-37.png",2,1417,2
1037,"S1037A_11-06-07-21.png","S1037B_11-06-07-21.png",1,441,3
3513,"S3513A_11-08-00-47.png","S3513B_11-08-00-47.png",3,47,1
29,"S29A_11-05-14-29.png","S29B_11-05-14-29.png",0,869,2
2000,"S2000A_11-06-23-28.png","S2000B_11-06-23-28.png",1,1408,1
4118,"S4118A_11-08-10-55.png","S4118B_11-08-10-55.png",3,655,5
943,"S943A_11-06-05-46.png","S943B_11-06-05-46.png",1,346,2
4517,"S4517A_11-08-17-36.png","S4517B_11-08-17-36.png",3,1056,4
1368,"S1368A_11-06-12-54.png","S1368B_11-06-12-54.png",1,774,3
1273,"S1273A_11-06-11-18.png","S1273B_11-06-11-18.png",1,678,2
5210,"S5210A_11-09-05-13.png","S5210B_11-09-05-13.png",4,313,2
5144,"S5144A_11-09-04-06.png","S5144B_11-09-04-06.png",4,246,2
4843,"S4843A_11-08-23-04.png","S4843B_11-08-23-04.png",3,1384,2
2833,"S2833A_11-07-13-24.png","S2833B_11-07-13-24.png",2,804,3
3306,"S3306A_11-07-21-19.png","S3306B_11-07-21-19.png",2,1279,1
3173,"S3173A_11-07-19-06.png","S3173B_11-07-19-06.png",2,1146,4
33,"S33A_11-05-14-33.png","S33B_11-05-14-33.png",0,873,2
1381,"S1381A_11-06-13-07.png","S1381B_11-06-13-07.png",1,787,3
3163,"S3163A_11-07-18-56.png","S3163B_11-07-18-56.png",2,1136,4
4880,"S4880A_11-08-23-41.png","S4880B_11-08-23-41.png",3,1421,1
4754,"S4754A_11-08-21-34.png","S4754B_11-08-21-34.png",3,1294,1
1045,"S1045A_11-06-07-29.png","S1045B_11-06-07-29.png",1,449,4
3321,"S3321A_11-07-21-34.png","S3321B_11-07-21-34.png",2,1294,1
2860,"S2860A_11-07-13-51.png","S2860B_11-07-13-51.png",2,831,3
1360,"S1360A_11-06-12-46.png","S1360B_11-06-12-46.png",1,766,4
4562,"S4562A_11-08-18-21.png","S4562B_11-08-18-21.png",3,1101,3
2989,"S2989A_11-07-16-01.png","S2989B_11-07-16-01.png",2,961,3
4180,"S4180A_11-08-11-57.png","S4180B_11-08-11-57.png",3,717,1
1947,"S1947A_11-06-22-35.png","S1947B_11-06-22-35.png",1,1355,2
3622,"S3622A_11-08-02-37.png","S3622B_11-08-02-37.png",3,157,1
1287,"S1287A_11-06-11-32.png","S1287B_11-06-11-32.png",1,692,4
3303,"S3303A_11-07-21-16.png","S3303B_11-07-21-16.png",2,1276,1
1242,"S1242A_11-06-10-47.png","S1242B_11-06-10-47.png",1,647,4
1348,"S1348A_11-06-12-34.png","S1348B_11-06-12-34.png",1,754,5
1245,"S1245A_11-06-10-50.png","S1245B_11-06-10-50.png",1,650,4
4173,"S4173A_11-08-11-50.png","S4173B_11-08-11-50.png",3,710,3
4107,"S4107A_11-08-10-44.png","S4107B_11-08-10-44.png",3,644,3
3257,"S3257A_11-07-20-30.png","S3257B_11-07-20-30.png",2,1230,4
3524,"S3524A_11-08-00-58.png","S3524B_11-08-00-58.png",3,58,3
4188,"S4188A_11-08-12-06.png","S4188B_11-08-12-06.png",3,726,5
3359,"S3359A_11-07-22-12.png","S3359B_11-07-22-12.png",2,1332,2
3090,"S3090A_11-07-17-42.png","S3090B_11-07-17-42.png",2,1062,4
2842,"S2842A_11-07-13-33.png","S2842B_11-07-13-33.png",2,813,3
5054,"S5054A_11-09-02-36.png","S5054B_11-09-02-36.png",4,156,2
1894,"S1894A_11-06-21-42.png","S1894B_11-06-21-42.png",1,1302,3
1227,"S1227A_11-06-10-32.png","S1227B_11-06-10-32.png",1,632,3
4603,"S4603A_11-08-19-03.png","S4603B_11-08-19-03.png",3,1143,1
1986,"S1986A_11-06-23-14.png","S1986B_11-06-23-14.png",1,1394,2
5185,"S5185A_11-09-04-48.png","S5185B_11-09-04-48.png",4,288,2
1252,"S1252A_11-06-10-57.png","S1252B_11-06-10-57.png",1,657,2
4801,"S4801A_11-08-22-22.png","S4801B_11-08-22-22.png",3,1342,1
391,"S391A_11-05-20-32.png","S391B_11-05-20-32.png",0,1232,2
1928,"S1928A_11-06-22-16.png","S1928B_11-06-22-16.png",1,1336,1
1964,"S1964A_11-06-22-52.png","S1964B_11-06-22-52.png",1,1372,1
3308,"S3308A_11-07-21-21.png","S3308B_11-07-21-21.png",2,1281,2
4008,"S4008A_11-08-09-05.png","S4008B_11-08-09-05.png",3,545,2
4951,"S4951A_11-09-00-52.png","S4951B_11-09-00-52.png",4,52,1
2008,"S2008A_11-06-23-37.png","S2008B_11-06-23-37.png",1,1417,2
5122,"S5122A_11-09-03-44.png","S5122B_11-09-03-44.png",4,224,1
260,"S260A_11-05-18-21.png","S260B_11-05-18-21.png",0,1101,5
2904,"S2904A_11-07-14-35.png","S2904B_11-07-14-35.png",2,875,3
5072,"S5072A_11-09-02-54.png","S5072B_11-09-02-54.png",4,174,1
4102,"S4102A_11-08-10-39.png","S4102B_11-08-10-39.png",3,639,2
4854,"S4854A_11-08-23-15.png","S4854B_11-08-23-15.png",3,1395,2
2889,"S2889A_11-07-14-20.png","S2889B_11-07-14-20.png",2,860,1
105,"S105A_11-05-15-45.png","S105B_11-05-15-45.png",0,945,3
4011,"S4011A_11-08-09-08.png","S4011B_11-08-09-08.png",3,548,2
4888,"S4888A_11-08-23-49.png","S4888B_11-08-23-49.png",3,1429,2
4774,"S4774A_11-08-21-54.png","S4774B_11-08-21-54.png",3,1314,1
2990,"S2990A_11-07-16-02.png","S2990B_11-07-16-02.png",2,962,3
3282,"S3282A_11-07-20-55.png","S3282B_11-07-20-55.png",2,1255,2
2533,"S2533A_11-07-08-24.png","S2533B_11-07-08-24.png",2,504,3
3600,"S3600A_11-08-02-15.png","S3600B_11-08-02-15.png",3,135,1
100,"S100A_11-05-15-40.png","S100B_11-05-15-40.png",0,940,1
4964,"S4964A_11-09-01-05.png","S4964B_11-09-01-05.png",4,65,2
76,"S76A_11-05-15-16.png","S76B_11-05-15-16.png",0,916,1
3245,"S3245A_11-07-20-18.png","S3245B_11-07-20-18.png",2,1218,2
32,"S32A_11-05-14-32.png","S32B_11-05-14-32.png",0,872,3
1072,"S1072A_11-06-07-56.png","S1072B_11-06-07-56.png",1,476,4
3318,"S3318A_11-07-21-31.png","S3318B_11-07-21-31.png",2,1291,1
1913,"S1913A_11-06-22-01.png","S1913B_11-06-22-01.png",1,1321,2
4035,"S4035A_11-08-09-32.png","S4035B_11-08-09-32.png",3,572,2
2823,"S2823A_11-07-13-14.png","S2823B_11-07-13-14.png",2,794,3
4128,"S4128A_11-08-11-05.png","S4128B_11-08-11-05.png",3,665,4
3528,"S3528A_11-08-01-02.png","S3528B_11-08-01-02.png",3,62,1
1318,"S1318A_11-06-12-03.png","S1318B_11-06-12-03.png",1,723,4
297,"S297A_11-05-18-58.png","S297B_11-05-18-58.png",0,1138,2
97,"S97A_11-05-15-37.png","S97B_11-05-15-37.png",0,937,2
3480,"S3480A_11-08-00-14.png","S3480B_11-08-00-14.png",3,14,1
3536,"S3536A_11-08-01-10.png","S3536B_11-08-01-10.png",3,70,1
1003,"S1003A_11-06-06-47.png","S1003B_11-06-06-47.png",1,407,5
4758,"S4758A_11-08-21-38.png","S4758B_11-08-21-38.png",3,1298,3
3272,"S3272A_11-07-20-45.png","S3272B_11-07-20-45.png",2,1245,3
2915,"S2915A_11-07-14-46.png","S2915B_11-07-14-46.png",2,886,2
3488,"S3488A_11-08-00-22.png","S3488B_11-08-00-22.png",3,22,1
4182,"S4182A_11-08-11-59.png","S4182B_11-08-11-59.png",3,719,3
3985,"S3985A_11-08-08-41.png","S3985B_11-08-08-41.png",3,521,3
56,"S56A_11-05-14-56.png","S56B_11-05-14-56.png",0,896,3
4023,"S4023A_11-08-09-20.png","S4023B_11-08-09-20.png",3,560,3
4206,"S4206A_11-08-12-24.png","S4206B_11-08-12-24.png",3,744,2
5063,"S5063A_11-09-02-45.png","S5063B_11-09-02-45.png",4,165,1
4650,"S4650A_11-08-19-50.png","S4650B_11-08-19-50.png",3,1190,3
5073,"S5073A_11-09-02-55.png","S5073B_11-09-02-55.png",4,175,2
3541,"S3541A_11-08-01-15.png","S3541B_11-08-01-15.png",3,75,2
3450,"S3450A_11-07-23-44.png","S3450B_11-07-23-44.png",2,1424,1
3527,"S3527A_11-08-01-01.png","S3527B_11-08-01-01.png",3,61,2
4619,"S4619A_11-08-19-19.png","S4619B_11-08-19-19.png",3,1159,3
2017,"S2017A_11-06-23-46.png","S2017B_11-06-23-46.png",1,1426,1
1258,"S1258A_11-06-11-03.png","S1258B_11-06-11-03.png",1,663,2
1384,"S1384A_11-06-13-10.png","S1384B_11-06-13-10.png",1,790,4
2580,"S2580A_11-07-09-11.png","S2580B_11-07-09-11.png",2,551,3
1275,"S1275A_11-06-11-20.png","S1275B_11-06-11-20.png",1,680,3
375,"S375A_11-05-20-16.png","S375B_11-05-20-16.png",0,1216,1
4116,"S4116A_11-08-10-53.png","S4116B_11-08-10-53.png",3,653,5
1315,"S1315A_11-06-12-00.png","S1315B_11-06-12-00.png",1,720,2
2031,"S2031A_11-07-00-00.png","S2031B_11-07-00-00.png",2,0,2
4884,"S4884A_11-08-23-45.png","S4884B_11-08-23-45.png",3,1425,2
5041,"S5041A_11-09-02-23.png","S5041B_11-09-02-23.png",4,143,1
5014,"S5014A_11-09-01-56.png","S5014B_11-09-01-56.png",4,116,2
3206,"S3206A_11-07-19-39.png","S3206B_11-07-19-39.png",2,1179,3
2571,"S2571A_11-07-09-02.png","S2571B_11-07-09-02.png",2,542,3
3475,"S3475A_11-08-00-09.png","S3475B_11-08-00-09.png",3,9,1
2883,"S2883A_11-07-14-14.png","S2883B_11-07-14-14.png",2,854,3
2817,"S2817A_11-07-13-08.png","S2817B_11-07-13-08.png",2,788,4
4670,"S4670A_11-08-20-10.png","S4670B_11-08-20-10.png",3,1210,2
2043,"S2043A_11-07-00-12.png","S2043B_11-07-00-12.png",2,12,2
1910,"S1910A_11-06-21-58.png","S1910B_11-06-21-58.png",1,1318,3
255,"S255A_11-05-18-16.png","S255B_11-05-18-16.png",0,1096,4
4566,"S4566A_11-08-18-25.png","S4566B_11-08-18-25.png",3,1105,2
2925,"S2925A_11-07-14-56.png","S2925B_11-07-14-56.png",2,896,4
4584,"S4584A_11-08-18-43.png","S4584B_11-08-18-43.png",3,1123,3
5184,"S5184A_11-09-04-47.png","S5184B_11-09-04-47.png",4,287,1
240,"S240A_11-05-18-01.png","S240B_11-05-18-01.png",0,1081,1
3324,"S3324A_11-07-21-37.png","S3324B_11-07-21-37.png",2,1297,1
3434,"S3434A_11-07-23-28.png","S3434B_11-07-23-28.png",2,1408,3
4588,"S4588A_11-08-18-47.png","S4588B_11-08-18-47.png",3,1127,2
4167,"S4167A_11-08-11-44.png","S4167B_11-08-11-44.png",3,704,2
3498,"S3498A_11-08-00-32.png","S3498B_11-08-00-32.png",3,32,1
4161,"S4161A_11-08-11-38.png","S4161B_11-08-11-38.png",3,698,1
333,"S333A_11-05-19-34.png","S333B_11-05-19-34.png",0,1174,3
1367,"S1367A_11-06-12-53.png","S1367B_11-06-12-53.png",1,773,5
3640,"S3640A_11-08-02-55.png","S3640B_11-08-02-55.png",3,175,1
1080,"S1080A_11-06-08-04.png","S1080B_11-06-08-04.png",1,484,1
3575,"S3575A_11-08-01-49.png","S3575B_11-08-01-49.png",3,109,1
2850,"S2850A_11-07-13-41.png","S2850B_11-07-13-41.png",2,821,2
3556,"S3556A_11-08-01-30.png","S3556B_11-08-01-30.png",3,90,2
4792,"S4792A_11-08-22-12.png","S4792B_11-08-22-12.png",3,1332,3
34,"S34A_11-05-14-34.png","S34B_11-05-14-34.png",0,874,2
2644,"S2644A_11-07-10-15.png","S2644B_11-07-10-15.png",2,615,2
1981,"S1981A_11-06-23-09.png","S1981B_11-06-23-09.png",1,1389,1
2005,"S2005A_11-06-23-33.png","S2005B_11-06-23-33.png",1,1413,2
5130,"S5130A_11-09-03-52.png","S5130B_11-09-03-52.png",4,232,2
4746,"S4746A_11-08-21-26.png","S4746B_11-08-21-26.png",3,1286,1
4914,"S4914A_11-09-00-15.png","S4914B_11-09-00-15.png",4,15,2
4536,"S4536A_11-08-17-55.png","S4536B_11-08-17-55.png",3,1075,3
178,"S178A_11-05-16-59.png","S178B_11-05-16-59.png",0,1019,3
3503,"S3503A_11-08-00-37.png","S3503B_11-08-00-37.png",3,37,1
1952,"S1952A_11-06-22-40.png","S1952B_11-06-22-40.png",1,1360,2
4117,"S4117A_11-08-10-54.png","S4117B_11-08-10-54.png",3,654,4
2530,"S2530A_11-07-08-21.png","S2530B_11-07-08-21.png",2,501,3
977,"S977A_11-06-06-21.png","S977B_11-06-06-21.png",1,381,4
4768,"S4768A_11-08-21-48.png","S4768B_11-08-21-48.png",3,1308,3
934,"S934A_11-06-05-37.png","S934B_11-06-05-37.png",1,337,2
2651,"S2651A_11-07-10-22.png","S2651B_11-07-10-22.png",2,622,3
4555,"S4555A_11-08-18-14.png","S4555B_11-08-18-14.png",3,1094,3
5079,"S5079A_11-09-03-01.png","S5079B_11-09-03-01.png",4,181,1
4211,"S4211A_11-08-12-29.png","S4211B_11-08-12-29.png",3,749,1
2789,"S2789A_11-07-12-40.png","S2789B_11-07-12-40.png",2,760,3
4752,"S4752A_11-08-21-32.png","S4752B_11-08-21-32.png",3,1292,3
3465,"S3465A_11-07-23-59.png","S3465B_11-07-23-59.png",2,1439,2
2993,"S2993A_11-07-16-05.png","S2993B_11-07-16-05.png",2,965,2
4094,"S4094A_11-08-10-31.png","S4094B_11-08-10-31.png",3,631,3
5127,"S5127A_11-09-03-49.png","S5127B_11-09-03-49.png",4,229,1
1283,"S1283A_11-06-11-28.png","S1283B_11-06-11-28.png",1,688,1
3301,"S3301A_11-07-21-14.png","S3301B_11-07-21-14.png",2,1274,1
5200,"S5200A_11-09-05-03.png","S5200B_11-09-05-03.png",4,303,2
5152,"S5152A_11-09-04-14.png","S5152B_11-09-04-14.png",4,254,2
2620,"S2620A_11-07-09-51.png","S2620B_11-07-09-51.png",2,591,5
4093,"S4093A_11-08-10-30.png","S4093B_11-08-10-30.png",3,630,3
3644,"S3644A_11-08-02-59.png","S3644B_11-08-02-59.png",3,179,1
2746,"S2746A_11-07-11-56.png","S2746B_11-07-11-56.png",2,716,2
295,"S295A_11-05-18-56.png","S295B_11-05-18-56.png",0,1136,2
3497,"S3497A_11-08-00-31.png","S3497B_11-08-00-31.png",3,31,1
1187,"S1187A_11-06-09-52.png","S1187B_11-06-09-52.png",1,592,3
3217,"S3217A_11-07-19-50.png","S3217B_11-07-19-50.png",2,1190,3
2790,"S2790A_11-07-12-41.png","S2790B_11-07-12-41.png",2,761,2
3310,"S3310A_11-07-21-23.png","S3310B_11-07-21-23.png",2,1283,1
4804,"S4804A_11-08-22-25.png","S4804B_11-08-22-25.png",3,1345,2
3452,"S3452A_11-07-23-46.png","S3452B_11-07-23-46.png",2,1426,2
3113,"S3113A_11-07-18-05.png","S3113B_11-07-18-05.png",2,1085,2
3448,"S3448A_11-07-23-42.png","S3448B_11-07-23-42.png",2,1422,2
2730,"S2730A_11-07-11-40.png","S2730B_11-07-11-40.png",2,700,2
2731,"S2731A_11-07-11-41.png","S2731B_11-07-11-41.png",2,701,2
174,"S174A_11-05-16-55.png","S174B_11-05-16-55.png",0,1015,3
4741,"S4741A_11-08-21-21.png","S4741B_11-08-21-21.png",3,1281,1
3629,"S3629A_11-08-02-44.png","S3629B_11-08-02-44.png",3,164,1
3375,"S3375A_11-07-22-28.png","S3375B_11-07-22-28.png",2,1348,3
3337,"S3337A_11-07-21-50.png","S3337B_11-07-21-50.png",2,1310,2
5125,"S5125A_11-09-03-47.png","S5125B_11-09-03-47.png",4,227,1
3330,"S3330A_11-07-21-43.png","S3330B_11-07-21-43.png",2,1303,2
1936,"S1936A_11-06-22-24.png","S1936B_11-06-22-24.png",1,1344,2
1183,"S1183A_11-06-09-48.png","S1183B_11-06-09-48.png",1,588,2
4882,"S4882A_11-08-23-43.png","S4882B_11-08-23-43.png",3,1423,1
4518,"S4518A_11-08-17-37.png","S4518B_11-08-17-37.png",3,1057,4
1061,"S1061A_11-06-07-45.png","S1061B_11-06-07-45.png",1,465,5
4785,"S4785A_11-08-22-05.png","S4785B_11-08-22-05.png",3,1325,1
326,"S326A_11-05-19-28.png","S326B_11-05-19-28.png",0,1168,3
954,"S954A_11-06-05-58.png","S954B_11-06-05-58.png",1,358,2
5148,"S5148A_11-09-04-10.png","S5148B_11-09-04-10.png",4,250,2
1279,"S1279A_11-06-11-24.png","S1279B_11-06-11-24.png",1,684,4
4852,"S4852A_11-08-23-13.png","S4852B_11-08-23-13.png",3,1393,3
1959,"S1959A_11-06-22-47.png","S1959B_11-06-22-47.png",1,1367,2
2867,"S2867A_11-07-13-58.png","S2867B_11-07-13-58.png",2,838,3
1362,"S1362A_11-06-12-48.png","S1362B_11-06-12-48.png",1,768,3
2594,"S2594A_11-07-09-25.png","S2594B_11-07-09-25.png",2,565,4
5106,"S5106A_11-09-03-28.png","S5106B_11-09-03-28.png",4,208,1
3526,"S3526A_11-08-01-00.png","S3526B_11-08-01-00.png",3,60,1
112,"S112A_11-05-15-53.png","S112B_11-05-15-53.png",0,953,1
3008,"S3008A_11-07-16-20.png","S3008B_11-07-16-20.png",2,980,3
4572,"S4572A_11-08-18-31.png","S4572B_11-08-18-31.png",3,1111,2
4751,"S4751A_11-08-21-31.png","S4751B_11-08-21-31.png",3,1291,2
5012,"S5012A_11-09-01-54.png","S5012B_11-09-01-54.png",4,114,1
4207,"S4207A_11-08-12-25.png","S4207B_11-08-12-25.png",3,745,3
2832,"S2832A_11-07-13-23.png","S2832B_11-07-13-23.png",2,803,2
1975,"S1975A_11-06-23-03.png","S1975B_11-06-23-03.png",1,1383,2
3288,"S3288A_11-07-21-01.png","S3288B_11-07-21-01.png",2,1261,1
2932,"S2932A_11-07-15-03.png","S2932B_11-07-15-03.png",2,903,3
2810,"S2810A_11-07-13-01.png","S2810B_11-07-13-01.png",2,781,3
5138,"S5138A_11-09-04-00.png","S5138B_11-09-04-00.png",4,240,2
2782,"S2782A_11-07-12-33.png","S2782B_11-07-12-33.png",2,753,3
158,"S158A_11-05-16-39.png","S158B_11-05-16-39.png",0,999,4
4512,"S4512A_11-08-17-31.png","S4512B_11-08-17-31.png",3,1051,4
3546,"S3546A_11-08-01-20.png","S3546B_11-08-01-20.png",3,80,2
1937,"S1937A_11-06-22-25.png","S1937B_11-06-22-25.png",1,1345,2
1220,"S1220A_11-06-10-25.png","S1220B_11-06-10-25.png",1,625,3
1060,"S1060A_11-06-07-44.png","S1060B_11-06-07-44.png",1,464,5
2634,"S2634A_11-07-10-05.png","S2634B_11-07-10-05.png",2,605,2
3275,"S3275A_11-07-20-48.png","S3275B_11-07-20-48.png",2,1248,3
1344,"S1344A_11-06-12-30.png","S1344B_11-06-12-30.png",1,750,2
4542,"S4542A_11-08-18-01.png","S4542B_11-08-18-01.png",3,1081,1
4948,"S4948A_11-09-00-49.png","S4948B_11-09-00-49.png",4,49,2
2036,"S2036A_11-07-00-05.png","S2036B_11-07-00-05.png",2,5,1
4187,"S4187A_11-08-12-05.png","S4187B_11-08-12-05.png",3,725,2
2862,"S2862A_11-07-13-53.png","S2862B_11-07-13-53.png",2,833,3
4973,"S4973A_11-09-01-14.png","S4973B_11-09-01-14.png",4,74,2
1217,"S1217A_11-06-10-22.png","S1217B_11-06-10-22.png",1,622,2
4817,"S4817A_11-08-22-38.png","S4817B_11-08-22-38.png",3,1358,1
23,"S23A_11-05-14-23.png","S23B_11-05-14-23.png",0,863,2
2670,"S2670A_11-07-10-41.png","S2670B_11-07-10-41.png",2,641,2
5098,"S5098A_11-09-03-20.png","S5098B_11-09-03-20.png",4,200,1
94,"S94A_11-05-15-34.png","S94B_11-05-15-34.png",0,934,1
4017,"S4017A_11-08-09-14.png","S4017B_11-08-09-14.png",3,554,1
2014,"S2014A_11-06-23-43.png","S2014B_11-06-23-43.png",1,1423,1
2630,"S2630A_11-07-10-01.png","S2630B_11-07-10-01.png",2,601,5
3583,"S3583A_11-08-01-57.png","S3583B_11-08-01-57.png",3,117,2
1049,"S1049A_11-06-07-33.png","S1049B_11-06-07-33.png",1,453,5
1307,"S1307A_11-06-11-52.png","S1307B_11-06-11-52.png",1,712,3
2035,"S2035A_11-07-00-04.png","S2035B_11-07-00-04.png",2,4,2
2924,"S2924A_11-07-14-55.png","S2924B_11-07-14-55.png",2,895,4
4103,"S4103A_11-08-10-40.png","S4103B_11-08-10-40.png",3,640,5
4162,"S4162A_11-08-11-39.png","S4162B_11-08-11-39.png",3,699,4
4668,"S4668A_11-08-20-08.png","S4668B_11-08-20-08.png",3,1208,3
1055,"S1055A_11-06-07-39.png","S1055B_11-06-07-39.png",1,459,5
3279,"S3279A_11-07-20-52.png","S3279B_11-07-20-52.png",2,1252,1
4184,"S4184A_11-08-12-01.png","S4184B_11-08-12-01.png",3,721,3
1087,"S1087A_11-06-08-11.png","S1087B_11-06-08-11.png",1,491,1
4175,"S4175A_11-08-11-52.png","S4175B_11-08-11-52.png",3,712,2
1990,"S1990A_11-06-23-18.png","S1990B_11-06-23-18.png",1,1398,2
1373,"S1373A_11-06-12-59.png","S1373B_11-06-12-59.png",1,779,3
948,"S948A_11-06-05-52.png","S948B_11-06-05-52.png",1,352,2
1263,"S1263A_11-06-11-08.png","S1263B_11-06-11-08.png",1,668,2
3414,"S3414A_11-07-23-08.png","S3414B_11-07-23-08.png",2,1388,1
3598,"S3598A_11-08-02-13.png","S3598B_11-08-02-13.png",3,133,1
4213,"S4213A_11-08-12-31.png","S4213B_11-08-12-31.png",3,751,1
1314,"S1314A_11-06-11-59.png","S1314B_11-06-11-59.png",1,719,2
1329,"S1329A_11-06-12-14.png","S1329B_11-06-12-14.png",1,734,4
1308,"S1308A_11-06-11-53.png","S1308B_11-06-11-53.png",1,713,3
118,"S118A_11-05-15-59.png","S118B_11-05-15-59.png",0,959,3
1231,"S1231A_11-06-10-36.png","S1231B_11-06-10-36.png",1,636,3
5177,"S5177A_11-09-04-39.png","S5177B_11-09-04-39.png",4,279,2
2592,"S2592A_11-07-09-23.png","S2592B_11-07-09-23.png",2,563,4
4113,"S4113A_11-08-10-50.png","S4113B_11-08-10-50.png",3,650,3
235,"S235A_11-05-17-56.png","S235B_11-05-17-56.png",0,1076,2
4812,"S4812A_11-08-22-33.png","S4812B_11-08-22-33.png",3,1353,2
2740,"S2740A_11-07-11-50.png","S2740B_11-07-11-50.png",2,710,2
2973,"S2973A_11-07-15-45.png","S2973B_11-07-15-45.png",2,945,5
984,"S984A_11-06-06-28.png","S984B_11-06-06-28.png",1,388,3
45,"S45A_11-05-14-45.png","S45B_11-05-14-45.png",0,885,2
2818,"S2818A_11-07-13-09.png","S2818B_11-07-13-09.png",2,789,2
2034,"S2034A_11-07-00-03.png","S2034B_11-07-00-03.png",2,3,1
1179,"S1179A_11-06-09-44.png","S1179B_11-06-09-44.png",1,584,5
1908,"S1908A_11-06-21-56.png","S1908B_11-06-21-56.png",1,1316,3
3482,"S3482A_11-08-00-16.png","S3482B_11-08-00-16.png",3,16,2
5169,"S5169A_11-09-04-31.png","S5169B_11-09-04-31.png",4,271,3
10,"S10A_11-05-14-10.png","S10B_11-05-14-10.png",0,850,5
3371,"S3371A_11-07-22-24.png","S3371B_11-07-22-24.png",2,1344,1
2863,"S2863A_11-07-13-54.png","S2863B_11-07-13-54.png",2,834,3
3142,"S3142A_11-07-18-34.png","S3142B_11-07-18-34.png",2,1114,3
5071,"S5071A_11-09-02-53.png","S5071B_11-09-02-53.png",4,173,1
2763,"S2763A_11-07-12-13.png","S2763B_11-07-12-13.png",2,733,2
3231,"S3231A_11-07-20-04.png","S3231B_11-07-20-04.png",2,1204,2
3435,"S3435A_11-07-23-29.png","S3435B_11-07-23-29.png",2,1409,2
5070,"S5070A_11-09-02-52.png","S5070B_11-09-02-52.png",4,172,1
234,"S234A_11-05-17-55.png","S234B_11-05-17-55.png",0,1075,3
